layer,batch,num_frames,num_heads,num_tokens,feature_dim,effective_dim,effective_dim_ratio,mean_key_norm,std_key_norm
0,0,20,16,20820,1024,3.658595323562622,0.003572846995666623,16.732860565185547,0.33736130595207214
1,0,20,16,20820,1024,9.161240577697754,0.008946524001657963,15.068743705749512,0.15153305232524872
2,0,20,16,20820,1024,5.14401912689209,0.0050234561786055565,21.62552833557129,0.3481900691986084
3,0,20,16,20820,1024,3.92279052734375,0.003830850124359131,27.698627471923828,0.3828239440917969
4,0,20,16,20820,1024,4.754534721374512,0.004643100313842297,26.61667251586914,0.4029945433139801
5,0,20,16,20820,1024,4.59778356552124,0.004490023013204336,28.882511138916016,0.6732827425003052
6,0,20,16,20820,1024,5.266186237335205,0.005142759997397661,27.12312126159668,0.5639491081237793
7,0,20,16,20820,1024,4.414462089538574,0.004310998134315014,26.688447952270508,0.693392813205719
8,0,20,16,20820,1024,7.739919662475586,0.007558515295386314,19.97283172607422,0.2515507936477661
9,0,20,16,20820,1024,4.6708478927612305,0.004561374895274639,26.402912139892578,0.8043869733810425
10,0,20,16,20820,1024,3.9353716373443604,0.003843136364594102,28.829246520996094,0.8559141755104065
11,0,20,16,20820,1024,7.876720905303955,0.007692110259085894,37.717559814453125,1.5025020837783813
12,0,20,16,20820,1024,5.277904987335205,0.005154204089194536,37.732139587402344,0.8415590524673462
13,0,20,16,20820,1024,5.091091156005859,0.004971768707036972,40.091941833496094,1.2143065929412842
14,0,20,16,20820,1024,4.00364351272583,0.0039098081178963184,52.482940673828125,2.7078514099121094
15,0,20,16,20820,1024,3.476532459259033,0.0033950512297451496,39.92985534667969,1.0929204225540161
16,0,20,16,20820,1024,2.3317127227783203,0.0022770632058382034,30.742279052734375,1.1179990768432617
17,0,20,16,20820,1024,2.125800848007202,0.0020759773906320333,17.960607528686523,0.9980037808418274
18,0,20,16,20820,1024,1.8291873931884766,0.0017863158136606216,13.629632949829102,0.37374311685562134
19,0,20,16,20820,1024,1.8306028842926025,0.0017876981291919947,22.239526748657227,1.3937350511550903
20,0,20,16,20820,1024,2.8403971195220947,0.0027738253120332956,14.523180961608887,0.45485448837280273
21,0,20,16,20820,1024,2.540696620941162,0.0024811490438878536,21.274805068969727,0.9479326605796814
22,0,20,16,20820,1024,3.5376341342926025,0.0034547208342701197,10.830147743225098,0.14300861954689026
23,0,20,16,20820,1024,2.489562511444092,0.002431213390082121,14.103950500488281,0.549138605594635
