frame_index,image,count,min,max,mean,std,p1,p5,p10,p25,p50,p75,p90,p95,p99
0,img0.png,195804,1.414773941040039,14.926836967468262,7.872041205669851,2.703580822943108,3.227789943218231,3.9850809454917906,4.681223964691162,5.850346565246582,7.521812915802002,9.367068767547607,12.180332279205322,13.248920106887818,14.035118379592896
1,img2.png,195804,1.4467015266418457,15.981216430664062,8.256018844723021,2.7668836848674614,3.1764515614509583,4.152651739120484,4.927976131439209,6.2446184158325195,7.981185674667358,9.722957849502563,12.584977054595948,13.58057074546814,14.710518779754638
2,img4.png,195804,1.459214210510254,16.251680374145508,8.333950331607626,2.732568587525436,3.413965315818787,4.312050199508667,5.031864976882934,6.291921615600586,8.034534931182861,9.8993399143219,12.588486480712891,13.53759970664978,14.769726419448853
3,img6.png,195804,1.5320706367492676,17.739112854003906,8.946352903346032,2.973580763206165,3.7075384521484374,4.745207571983338,5.461787414550781,6.7529319524765015,8.50757122039795,10.594193935394287,13.57007684707642,14.716970348358158,16.373195629119873
4,img8.png,195804,1.4988621473312378,17.432836532592773,8.877254164567026,2.9273872417209024,3.81214403629303,4.765670371055603,5.4019608974456785,6.68549382686615,8.455121517181396,10.500561714172363,13.402410221099855,14.427914714813232,16.154038467407226
5,img10.png,195804,1.5379196405410767,17.995359420776367,9.064368347890682,2.959309434416143,3.87363046169281,4.952015852928161,5.516259813308716,6.832184910774231,8.662996292114258,10.760785102844238,13.450411128997803,14.612787246704102,16.571813945770266
6,img12.png,195804,1.584590196609497,18.655031204223633,9.375663537955601,3.061420608464289,4.051630010604859,5.13073365688324,5.719427871704101,7.092916369438171,8.947056293487549,11.194244861602783,13.880225849151612,15.20758605003357,17.277822723388674
7,img14.png,195804,1.6061789989471436,19.083385467529297,9.644187517654265,3.142430584749166,4.272192254066467,5.22257354259491,5.924741411209107,7.2590426206588745,9.179655075073242,11.52754020690918,14.320261955261232,15.652860021591186,17.736528911590575
8,img16.png,195804,1.5799944400787354,19.0972843170166,9.512401253244358,3.0954943117951124,4.165847988128662,5.179136943817139,5.988267469406128,7.204173922538757,8.948134422302246,11.434975147247314,14.04031047821045,15.425100135803229,17.55287769317627
9,img18.png,195804,1.6033291816711426,18.894575119018555,9.545134808804168,3.100405579221916,4.2133165454864505,5.122891306877136,5.860380220413208,7.191688299179077,9.124524593353271,11.51262903213501,13.968845558166505,15.371499776840212,17.516964817047118
10,img20.png,195804,1.5953929424285889,18.671825408935547,9.454414865338219,3.095980405648826,4.203784637451172,5.04211323261261,5.786083459854126,7.023066520690918,9.094587326049805,11.353305339813232,13.842973136901858,15.369704818725587,17.450564785003664
11,img22.png,195804,1.5749304294586182,18.49908447265625,9.246944314199888,2.9673376277076864,4.073181972503662,4.991244816780091,5.629290580749512,6.950678110122681,8.92073678970337,11.106196403503418,13.375087070465092,14.77802724838257,16.933639030456543
12,img24.png,195804,1.6230015754699707,17.384740829467773,8.956451848317638,2.7759637639881514,4.167812657356262,4.82686231136322,5.442134380340576,6.785047888755798,8.642778873443604,10.842622518539429,12.672323322296142,13.894898080825806,16.17653289794922
13,img26.png,195804,1.5865004062652588,17.4964599609375,8.90194656160223,2.8749368184463275,4.021887822151184,4.706332588195801,5.3128152847290036,6.666092157363892,8.567569255828857,10.815328359603882,12.797307491302492,14.175396156311036,16.4106844329834
14,img28.png,195804,1.5979945659637451,17.513107299804688,8.989930946424115,2.938068139355617,4.029026517868042,4.696488165855408,5.2943117141723635,6.698023200035095,8.707483768463135,10.971311330795288,12.905684757232667,14.449259233474733,16.549077453613283
15,img30.png,195804,1.601041316986084,17.50053596496582,8.885357882750734,2.9261692694328105,4.002162981033325,4.625202798843384,5.197455263137817,6.5733113288879395,8.640815734863281,10.815739870071411,12.732375621795654,14.417297840118408,16.360013637542725
16,img32.png,195804,1.5823609828948975,16.910600662231445,8.651228363080564,2.8228426045978203,3.905587902069092,4.526571106910706,5.050849437713623,6.423550963401794,8.371726512908936,10.584925651550293,12.390559387207032,13.87449941635132,15.850072937011719
17,img34.png,195804,1.5855724811553955,17.533445358276367,8.695414464834535,2.922369041585008,3.841588854789734,4.469107294082642,4.979969644546509,6.427617430686951,8.351277828216553,10.617854595184326,12.735655212402344,14.136477231979372,16.1068741607666
18,img36.png,195804,1.6175520420074463,17.01219940185547,8.637296139397604,2.8527520995939764,3.9550829410552977,4.565294504165649,5.0016122341156,6.329468488693237,8.406338691711426,10.631016969680786,12.467967414855957,13.806544065475464,15.955524454116823
19,img38.png,195804,1.5982060432434082,16.86248016357422,8.630417065896486,2.7999509443438937,3.991784076690674,4.611584615707398,5.027372932434082,6.362159848213196,8.482198715209961,10.539252281188965,12.28374366760254,13.694072437286378,15.955173568725586
