bin_left,bin_right,count
1.4245741367340088,1.533618450164795,77
1.533618450164795,1.6426626443862915,268
1.6426626443862915,1.751706838607788,542
1.751706838607788,1.8607511520385742,724
1.8607511520385742,1.9697954654693604,1011
1.9697954654693604,2.0788397789001465,1538
2.0788397789001465,2.1878838539123535,1458
2.1878838539123535,2.2969281673431396,1872
2.2969281673431396,2.405972480773926,2827
2.405972480773926,2.515016555786133,3701
2.515016555786133,2.624060869216919,4922
2.624060869216919,2.733105182647705,6331
2.733105182647705,2.842149496078491,7775
2.842149496078491,2.9511938095092773,9429
2.9511938095092773,3.0602378845214844,11710
3.0602378845214844,3.1692821979522705,14629
3.1692821979522705,3.2783265113830566,15770
3.2783265113830566,3.3873705863952637,16930
3.3873705863952637,3.49641489982605,19209
3.49641489982605,3.605459213256836,21132
3.605459213256836,3.714503526687622,22985
3.714503526687622,3.823547840118408,26425
3.823547840118408,3.9325919151306152,29842
3.9325919151306152,4.0416364669799805,34699
4.0416364669799805,4.1506805419921875,40319
4.1506805419921875,4.2597246170043945,45514
4.2597246170043945,4.36876916885376,51847
4.36876916885376,4.477813243865967,59079
4.477813243865967,4.586857318878174,63870
4.586857318878174,4.695901870727539,67989
4.695901870727539,4.804945945739746,71376
4.804945945739746,4.913990020751953,77020
4.913990020751953,5.023034572601318,84512
5.023034572601318,5.132078647613525,96106
5.132078647613525,5.241123199462891,97138
5.241123199462891,5.350167274475098,84048
5.350167274475098,5.459211349487305,77610
5.459211349487305,5.56825590133667,69694
5.56825590133667,5.677299976348877,62328
5.677299976348877,5.786344528198242,58154
5.786344528198242,5.895388603210449,57522
5.895388603210449,6.004432678222656,57380
6.004432678222656,6.1134772300720215,57101
6.1134772300720215,6.2225213050842285,58222
6.2225213050842285,6.3315653800964355,62357
6.3315653800964355,6.440609931945801,67092
6.440609931945801,6.549654006958008,69379
6.549654006958008,6.658698081970215,69831
6.658698081970215,6.76774263381958,70764
6.76774263381958,6.876786708831787,72184
6.876786708831787,6.985831260681152,73968
6.985831260681152,7.094875335693359,77090
7.094875335693359,7.203919410705566,77236
7.203919410705566,7.312963962554932,78361
7.312963962554932,7.422008037567139,77125
7.422008037567139,7.531052589416504,73870
7.531052589416504,7.640096664428711,72812
7.640096664428711,7.749140739440918,70310
7.749140739440918,7.858185291290283,66022
7.858185291290283,7.96722936630249,62667
7.96722936630249,8.076273918151855,59254
8.076273918151855,8.185317993164062,57952
8.185317993164062,8.29436206817627,57112
8.29436206817627,8.403406143188477,56665
8.403406143188477,8.512450218200684,55759
8.512450218200684,8.621495246887207,53991
8.621495246887207,8.730539321899414,53802
8.730539321899414,8.839583396911621,54117
8.839583396911621,8.948627471923828,53759
8.948627471923828,9.057671546936035,52096
9.057671546936035,9.166716575622559,51232
9.166716575622559,9.275760650634766,51064
9.275760650634766,9.384804725646973,49834
9.384804725646973,9.49384880065918,48869
9.49384880065918,9.602892875671387,47464
9.602892875671387,9.711936950683594,45236
9.711936950683594,9.820981979370117,41386
9.820981979370117,9.930026054382324,36587
9.930026054382324,10.039070129394531,31925
10.039070129394531,10.148114204406738,28286
10.148114204406738,10.257158279418945,25442
10.257158279418945,10.366203308105469,23521
10.366203308105469,10.475247383117676,22203
10.475247383117676,10.584291458129883,21046
10.584291458129883,10.69333553314209,19669
10.69333553314209,10.802379608154297,17913
10.802379608154297,10.91142463684082,15482
10.91142463684082,11.020468711853027,12903
11.020468711853027,11.129512786865234,10223
11.129512786865234,11.238556861877441,7718
11.238556861877441,11.347600936889648,6055
11.347600936889648,11.456645965576172,4608
11.456645965576172,11.565690040588379,3391
11.565690040588379,11.674734115600586,2482
11.674734115600586,11.783778190612793,1625
11.783778190612793,11.892822265625,878
11.892822265625,12.001866340637207,506
12.001866340637207,12.11091136932373,232
12.11091136932373,12.219955444335938,56
12.219955444335938,12.328999519348145,34
