bin_left,bin_right,count
1.414773941040039,1.5915989875793457,13
1.5915989875793457,1.768424153327942,17
1.768424153327942,1.9452491998672485,26
1.9452491998672485,2.1220743656158447,5
2.1220743656158447,2.2988994121551514,3
2.2988994121551514,2.475724458694458,21
2.475724458694458,2.6525497436523438,82
2.6525497436523438,2.8293747901916504,406
2.8293747901916504,3.006199836730957,1849
3.006199836730957,3.1830248832702637,2943
3.1830248832702637,3.3598501682281494,4659
3.3598501682281494,3.536675214767456,6429
3.536675214767456,3.7135002613067627,10402
3.7135002613067627,3.8903253078460693,17514
3.8903253078460693,4.067150592803955,23732
4.067150592803955,4.243975639343262,29885
4.243975639343262,4.420800685882568,38960
4.420800685882568,4.597625732421875,43758
4.597625732421875,4.774450778961182,45355
4.774450778961182,4.951275825500488,49761
4.951275825500488,5.128101348876953,52347
5.128101348876953,5.30492639541626,55905
5.30492639541626,5.481751441955566,58785
5.481751441955566,5.658576488494873,64585
5.658576488494873,5.83540153503418,72429
5.83540153503418,6.012226581573486,78323
6.012226581573486,6.189051628112793,82684
6.189051628112793,6.3658766746521,85669
6.3658766746521,6.542701721191406,88267
6.542701721191406,6.719527244567871,90278
6.719527244567871,6.896352291107178,91877
6.896352291107178,7.073177337646484,89953
7.073177337646484,7.250002384185791,91047
7.250002384185791,7.426827430725098,91215
7.426827430725098,7.603652477264404,90989
7.603652477264404,7.780477523803711,90848
7.780477523803711,7.957302570343018,90487
7.957302570343018,8.134127616882324,90939
8.134127616882324,8.310953140258789,91790
8.310953140258789,8.487777709960938,92800
8.487777709960938,8.664603233337402,92664
8.664603233337402,8.841428756713867,88819
8.841428756713867,9.018253326416016,86014
9.018253326416016,9.19507884979248,82753
9.19507884979248,9.371903419494629,80914
9.371903419494629,9.548728942871094,79529
9.548728942871094,9.725553512573242,77104
9.725553512573242,9.902379035949707,77504
9.902379035949707,10.079203605651855,75486
10.079203605651855,10.25602912902832,75670
10.25602912902832,10.432854652404785,70726
10.432854652404785,10.609679222106934,66284
10.609679222106934,10.786504745483398,64898
10.786504745483398,10.963329315185547,59996
10.963329315185547,11.140154838562012,55131
11.140154838562012,11.31697940826416,51128
11.31697940826416,11.493804931640625,49237
11.493804931640625,11.670629501342773,47493
11.670629501342773,11.847455024719238,45413
11.847455024719238,12.024280548095703,43751
12.024280548095703,12.201105117797852,41459
12.201105117797852,12.377930641174316,39843
12.377930641174316,12.554755210876465,39830
12.554755210876465,12.73158073425293,37770
12.73158073425293,12.908405303955078,35484
12.908405303955078,13.085230827331543,33544
13.085230827331543,13.262056350708008,30897
13.262056350708008,13.438880920410156,30582
13.438880920410156,13.615706443786621,29341
13.615706443786621,13.79253101348877,27450
13.79253101348877,13.969356536865234,26484
13.969356536865234,14.146181106567383,24481
14.146181106567383,14.323006629943848,22304
14.323006629943848,14.499831199645996,19839
14.499831199645996,14.676656723022461,18934
14.676656723022461,14.853482246398926,18152
14.853482246398926,15.030306816101074,16708
15.030306816101074,15.207132339477539,15378
15.207132339477539,15.383956909179688,14476
15.383956909179688,15.560782432556152,12929
15.560782432556152,15.7376070022583,11780
15.7376070022583,15.914432525634766,10648
15.914432525634766,16.091257095336914,10138
16.091257095336914,16.268083572387695,9449
16.268083572387695,16.444908142089844,8524
16.444908142089844,16.621732711791992,7364
16.621732711791992,16.79855728149414,6489
16.79855728149414,16.975383758544922,5670
16.975383758544922,17.15220832824707,4532
17.15220832824707,17.32903289794922,3882
17.32903289794922,17.505857467651367,3062
17.505857467651367,17.68268394470215,2490
17.68268394470215,17.859508514404297,2006
17.859508514404297,18.036333084106445,1799
18.036333084106445,18.213159561157227,1725
18.213159561157227,18.389984130859375,1373
18.389984130859375,18.566808700561523,860
18.566808700561523,18.743633270263672,514
18.743633270263672,18.920459747314453,270
18.920459747314453,19.0972843170166,69
