layer,batch,num_frames,num_heads,num_tokens,feature_dim,effective_dim,effective_dim_ratio,leverage_pr,leverage_rank,mean_key_norm,std_key_norm
0,0,40,16,41640,1024,4.274855613708496,0.004174663685262203,27118.26171875,1024,16.689098358154297,0.31382229924201965
1,0,40,16,41640,1024,9.713541030883789,0.00948587991297245,29630.974609375,1024,15.081035614013672,0.15346042811870575
2,0,40,16,41640,1024,6.214221000671387,0.006068575195968151,29174.5859375,1024,21.555339813232422,0.3444955348968506
3,0,40,16,41640,1024,4.798590660095215,0.004686123691499233,28248.87109375,1024,27.61104393005371,0.3924601674079895
4,0,40,16,41640,1024,5.347536563873291,0.005222203675657511,28757.03125,1024,26.58018684387207,0.40403127670288086
5,0,40,16,41640,1024,5.553426265716553,0.005423267837613821,29266.75,1024,28.789348602294922,0.6706895232200623
6,0,40,16,41640,1024,6.364557266235352,0.0062153879553079605,30454.341796875,1024,27.0617618560791,0.5710827112197876
7,0,40,16,41640,1024,5.1491827964782715,0.005028498824685812,30393.775390625,1024,26.629886627197266,0.6908278465270996
8,0,40,16,41640,1024,9.062867164611816,0.008850456215441227,32155.87890625,1024,19.93927764892578,0.24729782342910767
9,0,40,16,41640,1024,5.493526458740234,0.00536477193236351,31028.916015625,1024,26.27596092224121,0.8169876337051392
10,0,40,16,41640,1024,4.5111565589904785,0.004405426327139139,29756.47265625,1024,28.780418395996094,0.8304640054702759
11,0,40,16,41640,1024,8.829012870788574,0.008622082881629467,30681.2890625,1024,37.731285095214844,1.4559706449508667
12,0,40,16,41640,1024,6.127685546875,0.005984067916870117,28726.427734375,1024,37.680702209472656,0.8040280938148499
13,0,40,16,41640,1024,6.366099834442139,0.006216894369572401,29598.296875,1024,40.1705436706543,1.1645393371582031
14,0,40,16,41640,1024,4.8702392578125,0.0047560930252075195,28155.4296875,1024,52.71512222290039,2.2918174266815186
15,0,40,16,41640,1024,4.182065486907959,0.004084048327058554,28287.49609375,1024,40.04648971557617,1.1448060274124146
16,0,40,16,41640,1024,2.9167280197143555,0.0028483672067523003,26848.17578125,1024,30.40033531188965,1.0691207647323608
17,0,40,16,41640,1024,2.407966136932373,0.0023515294305980206,26805.072265625,1024,17.743179321289062,0.9443294405937195
18,0,40,16,41640,1024,1.8949313163757324,0.0018505188636481762,22128.73046875,1024,13.53327465057373,0.3172948658466339
19,0,40,16,41640,1024,1.966446876525879,0.0019203582778573036,24336.75,1024,21.850250244140625,1.2035901546478271
20,0,40,16,41640,1024,4.063751697540283,0.003968507517129183,26475.728515625,1024,14.373494148254395,0.427276074886322
21,0,40,16,41640,1024,3.3350205421447754,0.0032568559981882572,27772.5546875,1024,20.942228317260742,0.9158034920692444
22,0,40,16,41640,1024,4.211424827575684,0.0041127195581793785,29618.85546875,1024,10.78121566772461,0.13918794691562653
23,0,40,16,41640,1024,2.8812406063079834,0.00281371152959764,26963.26953125,1024,13.899225234985352,0.5162370800971985
